keyword,product_slug,product_name,category,manufacturer
"honeywell eda10a","honeywell-eda10a","Tablet Honeywell EDA10A","tablety-przemyslowe","honeywell"
"honeywell rt10a","honeywell-rt10a","Tablet Honeywell RT10A","tablety-przemyslowe","honeywell"
"honeywell rt10w","honeywell-rt10w","Tablet Honeywell RT10W","tablety-przemyslowe","honeywell"
"honeywell ct47","honeywell-ct47","Honeywell CT47","terminale-mobilne","honeywell"
"m3 sm25","m3-sm25","M3 SM25","terminale-mobilne","m3-mobile"
"newland hr11 aringa","newland-hr11-aringa","Newland HR11 Aringa","skanery-kodow-kreskowych","newland"
"newland hr15 wahoo","newland-hr15-wahoo","Newland HR15 Wahoo","skanery-kodow-kreskowych","newland"
"newland hr23 dorada bt","newland-hr23-dorada-bt","Newland HR23 Dorada Bluetooth","skanery-kodow-kreskowych","newland"
"newland hr33 marlin bt","newland-hr33-marlin-bt","Newland HR33 Marlin Bluetooth","skanery-kodow-kreskowych","newland"
"newland nvh300","newland-nvh300","Newland NVH300 Angler DP","skanery-kodow-kreskowych","newland"
"newland mt93 megattera standard plus","newland-mt93-megattera-standard-plus","Newland MT93 Megattera Standard Plus","terminale-mobilne","newland"
"newland mt95 kambur pro ii","newland-mt95-kambur-pro-ii","Newland MT95 Kambur Pro II","terminale-mobilne","newland"
"newland n7 cachalot pro ii","newland-n7-cachalot-pro-ii","Newland N7 Cachalot Pro II","terminale-mobilne","newland"
"tsc mb341t","tsc-mb341t","TSC MB341T","drukarki-etykiet","tsc"
"tsc mh261t","tsc-mh261t","TSC MH261T","drukarki-etykiet","tsc"
"tsc mh341t","tsc-mh341t","TSC MH341T","drukarki-etykiet","tsc"
"tsc mh641t","tsc-mh641t","TSC MH641T","drukarki-etykiet","tsc"
"tsc ml341p","tsc-ml341p","TSC ML341P","drukarki-etykiet","tsc"
"tsc ttp 286mt","tsc-ttp-286mt","TSC TTP-286MT","drukarki-etykiet","tsc"
"tsc ttp 384mt","tsc-ttp-384mt","TSC TTP-384MT","drukarki-etykiet","tsc"
"zebra zd411t","zebra-zd411t","Zebra ZD411t","drukarki-etykiet","zebra"
"zebra zq210","zebra-zq210","Zebra ZQ210","drukarki-etykiet","zebra"
"zebra zq220 plus","zebra-zq220-plus","Zebra ZQ220 Plus","drukarki-etykiet","zebra"
"zebra zq310 plus","zebra-zq310-plus","Zebra ZQ310 Plus","drukarki-etykiet","zebra"
"zebra zq320 plus","zebra-zq320-plus","Zebra ZQ320 Plus","drukarki-etykiet","zebra"
"zebra zq610 plus","zebra-zq610-plus","Zebra ZQ610 Plus","drukarki-etykiet","zebra"
"zebra zq620 plus","zebra-zq620-plus","Zebra ZQ620 Plus","drukarki-etykiet","zebra"
"zebra zq630 plus","zebra-zq630-plus","Zebra ZQ630 Plus","drukarki-etykiet","zebra"
"zebra zc100","zebra-zc100","Zebra ZC100","drukarki-kart","zebra"
"zebra zd510 hc","zebra-zd510-hc","Zebra ZD510-HC","drukarki-opasek","zebra"
"zebra ds3608 hd","zebra-ds3608-hd","Zebra DS3608-HD","skanery-kodow-kreskowych","zebra"
"zebra ds3608 hp","zebra-ds3608-hp","Zebra DS3608-HP","skanery-kodow-kreskowych","zebra"
"zebra ds3608 sr","zebra-ds3608-sr","Zebra DS3608-SR","skanery-kodow-kreskowych","zebra"
"zebra ds3608 xr","zebra-ds3608-xr","Zebra DS3608-XR","skanery-kodow-kreskowych","zebra"
"zebra ds3678 hd","zebra-ds3678-hd","Zebra DS3678-HD","skanery-kodow-kreskowych","zebra"
"zebra ds3678 hp","zebra-ds3678-hp","Zebra DS3678-HP","skanery-kodow-kreskowych","zebra"
"zebra ds3678 sr","zebra-ds3678-sr","Zebra DS3678-SR","skanery-kodow-kreskowych","zebra"
"zebra ds3678 xr","zebra-ds3678-xr","Zebra DS3678-XR","skanery-kodow-kreskowych","zebra"
"zebra ds4678 dpe","zebra-ds4678-dpe","Zebra DS4678-DPE","skanery-kodow-kreskowych","zebra"
"zebra li3608 er","zebra-li3608-er","Zebra LI3608-ER","skanery-kodow-kreskowych","zebra"
"zebra li3608 sr","zebra-li3608-sr","Zebra LI3608-SR","skanery-kodow-kreskowych","zebra"
"zebra et60w","zebra-et60w","Zebra ET60 Windows","tablety-przemyslowe","zebra"
"zebra et65","zebra-et65","Zebra ET65","tablety-przemyslowe","zebra"
"zebra et65w","zebra-et65w","Zebra ET65 Windows","tablety-przemyslowe","zebra"
"zebra em45","zebra-em45","Zebra EM45","terminale-mobilne","zebra"
"zebra mc3300x","zebra-mc3300x","Zebra MC3300x","terminale-mobilne","zebra"
"zebra mc3450","zebra-mc3450","Zebra MC3450","terminale-mobilne","zebra"
"zebra mc9450","zebra-mc9450","Zebra MC9450","terminale-mobilne","zebra"
"zebra tc73","zebra-tc73","Zebra TC73","terminale-mobilne","zebra"
"zebra tc78","zebra-tc78","Zebra TC78","terminale-mobilne","zebra"
